name,artist,popularity,genre,duration_ms,release_date,year,release_year,duration_min
"Good Luck, Babe!",Chappell Roan,96,pop,218423,2024-04-05,2024.0,2024,3.6403833333333333
BIRDS OF A FEATHER,Billie Eilish,100,pop,210373,2024-05-17,2024.0,2024,3.5062166666666665
Please Please Please,Sabrina Carpenter,97,pop,186365,2024-06-06,2024.0,2024,3.1060833333333333
I Had Some Help (Feat. Morgan Wallen),Post Malone,93,pop,178205,2024-05-10,2024.0,2024,2.970083333333333
Espresso,Sabrina Carpenter,98,pop,175459,2024-04-12,2024.0,2024,2.9243166666666665
HOT TO GO!,Chappell Roan,91,pop,184841,2023-09-22,2023.0,2023,3.0806833333333334
Pink Pony Club,Chappell Roan,88,pop,258034,2023-09-22,2023.0,2023,4.300566666666667
Red Wine Supernova,Chappell Roan,89,pop,192720,2023-09-22,2023.0,2023,3.212
A Bar Song (Tipsy),Shaboozey,91,pop,171291,2024-04-12,2024.0,2024,2.85485
Guess featuring Billie Eilish,Charli xcx,92,pop,143330,2024-08-01,2024.0,2024,2.3888333333333334
LUNCH,Billie Eilish,92,pop,179586,2024-05-17,2024.0,2024,2.9931
Who,Jimin,94,pop,170887,2024-07-19,2024.0,2024,2.848116666666667
Apple,Charli xcx,89,pop,151739,2024-06-07,2024.0,2024,2.528983333333333
Casual,Chappell Roan,87,pop,232796,2023-09-22,2023.0,2023,3.8799333333333332
A Bar Song (Tipsy),Shaboozey,88,pop,171291,2024-05-31,2024.0,2024,2.85485
360,Charli xcx,89,pop,133805,2024-06-07,2024.0,2024,2.2300833333333334
Stargazing,Myles Smith,93,pop,172533,2024-05-10,2024.0,2024,2.87555
Slow It Down,Benson Boone,89,pop,161831,2024-04-05,2024.0,2024,2.6971833333333333
Cruel Summer,Taylor Swift,92,pop,178426,2019-08-23,2019.0,2019,2.9737666666666667
WILDFLOWER,Billie Eilish,90,pop,261466,2024-05-17,2024.0,2024,4.357766666666667
End of Beginning,Djo,92,pop,159245,2022-09-16,2022.0,2022,2.6540833333333333
CHIHIRO,Billie Eilish,91,pop,303440,2024-05-17,2024.0,2024,5.057333333333333
Too Sweet,Hozier,83,pop,251424,2024-03-22,2024.0,2024,4.1904
Sweater Weather,The Neighbourhood,91,pop,240400,2013-04-19,2013.0,2013,4.006666666666667
Femininomenon,Chappell Roan,85,pop,219710,2023-09-22,2023.0,2023,3.6618333333333335
Beautiful Things,Benson Boone,91,pop,180304,2024-04-05,2024.0,2024,3.0050666666666666
Saturn,SZA,89,pop,186191,2024-02-22,2024.0,2024,3.1031833333333334
It's Up (feat. Young Thug & 21 Savage),Drake,82,pop,278000,2024-08-10,2024.0,2024,4.633333333333334
My Kink Is Karma,Chappell Roan,84,pop,222578,2023-09-22,2023.0,2023,3.709633333333333
Die With A Smile,Lady Gaga,90,pop,251667,2024-08-16,2024.0,2024,4.19445
Wind Up Missin’ You,Tucker Wetmore,83,pop,166040,2024-03-29,2024.0,2024,2.767333333333333
Guy For That (Feat. Luke Combs),Post Malone,85,pop,164011,2024-07-26,2024.0,2024,2.7335166666666666
Feather,Sabrina Carpenter,88,pop,185552,2023-03-17,2023.0,2023,3.0925333333333334
Fortnight (feat. Post Malone),Taylor Swift,90,pop,228965,2024-04-18,2024.0,2024,3.8160833333333333
Too Sweet,Hozier,82,pop,251424,2024-03-22,2024.0,2024,4.1904
misses,Dominic Fike,85,pop,74378,2024-05-03,2024.0,2024,1.2396333333333334
Nonsense,Sabrina Carpenter,88,pop,163648,2022-07-15,2022.0,2022,2.7274666666666665
Heartless (feat. Morgan Wallen),Diplo,82,pop,169226,2020-05-29,2020.0,2020,2.8204333333333333
Miles On It,Marshmello,84,pop,168355,2024-05-03,2024.0,2024,2.8059166666666666
Shut up My Moms Calling,Hotel Ugly,87,pop,164571,2020-02-10,2020.0,2020,2.74285
Belong Together,Mark Ambor,90,pop,148317,2024-02-16,2024.0,2024,2.47195
Snooze,SZA,86,pop,201800,2022-12-09,2022.0,2022,3.3633333333333333
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,90,pop,200400,2000-03-21,2000.0,2000,3.34
I Can Do It With a Broken Heart,Taylor Swift,87,pop,218004,2024-04-18,2024.0,2024,3.6334
Beautiful Things,Benson Boone,90,pop,180304,2024-01-18,2024.0,2024,3.0050666666666666
I Had Some Help (Feat. Morgan Wallen),Post Malone,80,pop,178205,2024-08-15,2024.0,2024,2.970083333333333
Ric Flair Drip (with Metro Boomin),Offset,85,pop,172800,2017-10-30,2017.0,2017,2.88
As It Was,Harry Styles,90,pop,167303,2022-05-20,2022.0,2022,2.7883833333333334
Blue Green Red,Drake,78,pop,217846,2024-08-10,2024.0,2024,3.6307666666666667
Pour Me A Drink (Feat. Blake Shelton),Post Malone,83,pop,195122,2024-06-21,2024.0,2024,3.2520333333333333
Take Me to Church,Hozier,80,pop,241693,2014-09-19,2014.0,2014,4.028216666666666
Romantic Homicide,d4vd,86,pop,132630,2022-07-20,2022.0,2022,2.2105
Viva La Vida,Coldplay,88,pop,242373,2008-05-26,2008.0,2008,4.03955
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,91,pop,244684,2023-06-23,2023.0,2023,4.0780666666666665
Wrong Ones (Feat. Tim McGraw),Post Malone,78,pop,195822,2024-08-15,2024.0,2024,3.2637
you look like you love me (feat. Riley Green),Ella Langley,82,pop,224280,2024-06-21,2024.0,2024,3.738
greedy,Tate McRae,89,pop,131872,2023-09-15,2023.0,2023,2.1978666666666666
Unwritten,Natasha Bedingfield,88,pop,259333,2004-08-30,2004.0,2004,4.322216666666667
Juna,Clairo,83,pop,195109,2024-07-12,2024.0,2024,3.2518166666666666
Kill Bill,SZA,87,pop,153946,2022-12-08,2022.0,2022,2.5657666666666668
Sailor Song,Gigi Perez,84,pop,211978,2024-07-26,2024.0,2024,3.532966666666667
we can't be friends (wait for your love),Ariana Grande,89,pop,228639,2024-03-08,2024.0,2024,3.81065
Super Graphic Ultra Modern Girl,Chappell Roan,82,pop,183888,2023-09-22,2023.0,2023,3.0648
Guy For That (Feat. Luke Combs),Post Malone,77,pop,164011,2024-08-15,2024.0,2024,2.7335166666666666
What Don't Belong To Me,Post Malone,76,pop,207176,2024-08-15,2024.0,2024,3.452933333333333
Naked In Manhattan,Chappell Roan,81,pop,211057,2023-09-22,2023.0,2023,3.5176166666666666
Porch Light,Josh Meloy,80,pop,184949,2022-11-18,2022.0,2022,3.0824833333333332
Pain,PinkPantheress,83,pop,98544,2021-10-15,2021.0,2021,1.6424
After Midnight,Chappell Roan,81,pop,204857,2023-09-22,2023.0,2023,3.414283333333333
Housekeeping Knows (feat. Latto),Drake,73,pop,186692,2024-08-10,2024.0,2024,3.1115333333333335
L’AMOUR DE MA VIE,Billie Eilish,86,pop,333986,2024-05-17,2024.0,2024,5.566433333333333
The Middle,Jimmy Eat World,83,pop,165853,2001-07-17,2001.0,2001,2.7642166666666665
Apocalypse,Cigarettes After Sex,87,pop,290616,2017-06-09,2017.0,2017,4.8436
Where It Ends,Bailey Zimmerman,80,pop,179294,2023-01-11,2023.0,2023,2.9882333333333335
We Ride,Bryan Martin,80,pop,188482,2023-03-31,2023.0,2023,3.141366666666667
august,Taylor Swift,87,pop,261922,2020-07-24,2020.0,2020,4.365366666666667
Yeah! (feat. Lil Jon & Ludacris),USHER,85,pop,250373,2004-03-23,2004.0,2004,4.172883333333333
Lonely Road (with Jelly Roll),mgk,81,pop,189356,2024-07-26,2024.0,2024,3.1559333333333335
Finer Things (Feat. Hank Williams Jr.),Post Malone,75,pop,185533,2024-08-15,2024.0,2024,3.092216666666667
Losers (Feat. Jelly Roll),Post Malone,75,pop,209038,2024-08-15,2024.0,2024,3.483966666666667
California Sober (Feat. Chris Stapleton),Post Malone,76,pop,204411,2024-08-15,2024.0,2024,3.40685
Everybody Wants To Rule The World,Tears For Fears,86,pop,251488,1985-02-25,1985.0,1985,4.191466666666667
Broken Clocks,SZA,82,pop,231253,2017-06-09,2017.0,2017,3.854216666666667
Linger,The Cranberries,84,pop,274706,1993-03-01,1993.0,1993,4.578433333333333
Who,Jimin,89,pop,170887,2024-07-23,2024.0,2024,2.848116666666667
The Color Violet,Tory Lanez,84,pop,226466,2021-12-10,2021.0,2021,3.7744333333333335
Pour Me A Drink (Feat. Blake Shelton),Post Malone,75,pop,195122,2024-08-15,2024.0,2024,3.2520333333333333
Lovin On Me,Jack Harlow,84,pop,138411,2023-11-10,2023.0,2023,2.30685
Party In The U.S.A.,Miley Cyrus,78,pop,202066,2009-01-01,2009.0,2009,3.367766666666667
Jealous,Eyedress,84,pop,122338,2019-12-06,2019.0,2019,2.0389666666666666
Who,Jimin,89,pop,170887,2024-07-23,2024.0,2024,2.848116666666667
exes,Tate McRae,84,pop,159400,2023-12-08,2023.0,2023,2.6566666666666667
365,Charli xcx,84,pop,203618,2024-06-07,2024.0,2024,3.3936333333333333
BLUE,Billie Eilish,86,pop,343120,2024-05-17,2024.0,2024,5.718666666666667
Who,Jimin,89,pop,170887,2024-07-23,2024.0,2024,2.848116666666667
Nosedive (Feat. Lainey Wilson),Post Malone,74,pop,192459,2024-08-15,2024.0,2024,3.20765
Wild Ones (feat. Jelly Roll),Jessie Murph,79,pop,141367,2023-10-06,2023.0,2023,2.356116666666667
Have The Heart (Feat. Dolly Parton),Post Malone,74,pop,183333,2024-08-15,2024.0,2024,3.05555
Circles,Post Malone,85,pop,215280,2019-09-06,2019.0,2019,3.588
Shut Up and Dance,WALK THE MOON,86,pop,199080,2014-12-02,2014.0,2014,3.318
Heat Waves,Glass Animals,87,pop,238805,2020-08-07,2020.0,2020,3.9800833333333334
Goes Without Saying (Feat. Brad Paisley),Post Malone,74,pop,212353,2024-08-15,2024.0,2024,3.5392166666666665
Riptide,Vance Joy,80,pop,204280,2014-09-08,2014.0,2014,3.4046666666666665
Missin’ You Like This (Feat. Luke Combs),Post Malone,74,pop,222781,2024-08-15,2024.0,2024,3.713016666666667
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,87,pop,222369,2023-07-13,2023.0,2023,3.70615
One Dance,Drake,87,pop,173986,2016-05-06,2016.0,2016,2.899766666666667
High Road (feat. Jessie Murph),Koe Wetzel,79,pop,179413,2024-06-07,2024.0,2024,2.9902166666666665
Broadway Girls (feat. Morgan Wallen),Lil Durk,78,pop,185600,2022-03-10,2022.0,2022,3.0933333333333333
Take on Me,a-ha,88,pop,225280,1985-06-01,1985.0,1985,3.7546666666666666
"Hey, Soul Sister",Train,86,pop,216773,2010-12-01,2010.0,2010,3.6128833333333334
Devil I've Been (Feat. ERNEST),Post Malone,73,pop,182924,2024-08-15,2024.0,2024,3.0487333333333333
THE GREATEST,Billie Eilish,84,pop,293840,2024-05-17,2024.0,2024,4.897333333333333
Hide My Gun (Feat. HARDY),Post Malone,72,pop,220479,2024-08-15,2024.0,2024,3.67465
Yours,Post Malone,73,pop,199438,2024-08-15,2024.0,2024,3.3239666666666667
TRUCK BED,HARDY,79,pop,167534,2023-01-20,2023.0,2023,2.7922333333333333
Work Song,Hozier,78,pop,229720,2014-09-19,2014.0,2014,3.828666666666667
Locked out of Heaven,Bruno Mars,88,pop,233478,2012-12-07,2012.0,2012,3.8913
That's What I Like,Bruno Mars,87,pop,206693,2016-11-17,2016.0,2016,3.4448833333333333
It's Up (feat. Young Thug & 21 Savage),Drake,60,pop,278000,2024-08-10,2024.0,2024,4.633333333333334
Never Love You Again (Feat. Sierra Ferrell),Post Malone,72,pop,186861,2024-08-15,2024.0,2024,3.11435
Yellow,Coldplay,89,pop,266773,2000-07-10,2000.0,2000,4.4462166666666665
the boy is mine,Ariana Grande,86,pop,173639,2024-03-08,2024.0,2024,2.8939833333333334
Flowers,Miley Cyrus,88,pop,200600,2023-08-18,2023.0,2023,3.3433333333333333
Time of Our Lives,Pitbull,84,pop,229360,2014-11-21,2014.0,2014,3.8226666666666667
Drops of Jupiter (Tell Me),Train,82,pop,259933,2001-03-27,2001.0,2001,4.332216666666667
Right About You,Post Malone,71,pop,183046,2024-08-15,2024.0,2024,3.0507666666666666
I Don't Wanna Wait,David Guetta,90,pop,149667,2024-04-05,2024.0,2024,2.49445
